Tornado ID,Date/Time,Latitude,Longitude,Fujita scale,Unnamed: 5,TOR_F_SCALE
1087,2010-02-16 06:00:00,-17.36,145.59,0,,F0
1090,2010-02-04 05:45:00,-30.5151,151.665,0,,F0
1094,2010-02-27 05:15:00,-36.3632,144.6995,0,,F0
1097,2010-09-13 05:48:00,-36.356,141.3433,0,,F0
1098,2010-08-10 06:30:00,-36.0985,144.7513,0,,F0
1101,2010-05-22 12:00:00,-33.0778,115.8944,0,,F0
1102,2010-05-26 22:00:00,-32.2814,115.7269,0,,F0
1103,2010-07-08 22:00:00,-32.0486,115.9208,0,,F0
1104,2010-07-09 14:00:00,-32.5294,115.7233,0,,F0
1110,2011-02-28 08:15:00,-31.9652,141.4513,0,,F0
1111,2010-12-08 02:05:00,-31.9652,141.4513,0,,F0
1112,2010-11-23 07:30:00,-20.7307,143.1426,0,,F0
1113,2010-12-01 02:38:00,-31.4985,145.8346,0,,F0
1115,2011-01-19 07:20:00,-29.6484,152.8011,0,,F0
1116,2010-08-10 00:00:00,-36.1298,144.7508,0,,F0
1117,2011-02-03 07:20:00,-36.9015,143.9795,0,,F0
1118,2011-02-04 05:00:00,-37.8436,144.974,0,,F0
1119,2010-10-06 04:30:00,-36.7924,143.5519,0,,F0
1120,2010-11-07 05:05:00,-37.4248,144.5612,0,,F0
1121,2011-02-04 06:22:00,-36.3613,144.6985,0,,F0
1122,2011-02-28 08:36:00,-31.9652,141.4513,0,,F0
1123,2011-05-23 09:30:00,-25.52,152.68,0,,F0
1127,2010-10-02 06:00:00,-35.3317,148.8012,0,,F0
1130,2010-09-04 07:00:00,-37.216,145.1053,0,,F0
1135,2011-02-11 08:30:00,-12.9,132.5167,0,,F0
1165,2011-01-12 01:20:00,-12.9,131.19,0,,F0
1188,2011-10-29 23:13:00,-30.6317,150.6678,0,,F0
1189,2011-11-08 01:20:00,-36.9151,149.2346,0,,F0
1190,2011-10-01 13:45:00,-37.0561,146.0867,0,,F0
1191,2011-10-28 07:00:00,-37.6604,145.3731,0,,F0
1192,2011-12-25 06:05:00,-37.6572,144.2306,0,,F0
1193,2011-12-25 06:50:00,-37.6471,145.0288,0,,F0
1194,2012-01-11 00:12:00,-37.8446,145.2668,0,,F0
1195,2011-12-25 06:40:00,-37.6664,144.8458,0,,F0
1196,2012-02-27 04:40:00,-34.1942,142.1559,0,,F0
1197,2012-02-27 04:40:00,-34.2316,142.0815,0,,F0
1198,2012-04-06 07:35:00,-38.0755,144.3574,0,,F0
1199,2012-04-22 06:34:00,-36.4703,145.6305,0,,F0
1200,2012-04-08 09:45:00,-33.6901,151.1096,0,,F0
1201,2012-03-16 05:55:00,-30.5026,151.6372,0,,F0
1202,2012-05-24 05:30:00,-37.1503,142.7567,0,,F0
1203,2012-06-16 07:00:00,-37.7043,142.1095,0,,F0
1204,2012-04-23 03:30:00,-41.166,146.553,0,,F0
1205,2011-10-28 00:00:00,-34.3039,140.5192,0,,F0
1206,2011-11-08 00:00:00,-34.1726,140.7431,0,,F0
1209,2012-06-29 08:00:00,-34.7883,138.4957,0,,F0
1210,2012-06-29 07:00:00,-34.8684,138.6498,0,,F0
1211,2010-07-14 10:00:00,-34.438,138.5096,0,,F0
1213,2010-07-31 17:30:00,-37.3427,140.1199,0,,F0
1214,2010-10-14 00:00:00,-33.2288,138.8863,0,,F0
1215,2010-10-14 00:00:00,-34.2831,140.6026,0,,F0
1216,2010-12-07 00:00:00,-34.7804,138.6705,0,,F0
1218,2012-06-07 04:00:00,-31.9,116.8,0,,F0
1219,2011-02-15 17:00:00,-34.9516,138.8756,0,,F0
1224,2013-01-21 08:00:00,-33.6317,146.9679,0,,F0
1225,2013-03-21 08:40:00,-35.9152,145.7013,0,,F0
1226,2013-02-23 16:00:00,-34.6567,150.7012,0,,F0
1236,2013-03-21 19:40:00,-36.0577,146.4615,0,,F0
1239,2013-03-21 00:00:00,-36.5524,145.9988,0,,F0
1240,2013-03-21 04:00:00,-35.7323,143.9189,0,,F0
1241,2010-11-29 00:00:00,-22.66,114.18,0,,F0
1242,2011-01-05 00:00:00,-33.8333,116.3906,0,,F0
1243,2011-05-20 00:00:00,-32.0803,115.9153,0,,F0
1244,2011-05-29 13:00:00,-33.3403,115.6419,0,,F0
1245,2011-06-30 03:10:00,-32.5294,115.7233,0,,F0
1246,2011-07-22 07:26:00,-32.3744,115.9964,0,,F0
1247,2011-07-27 14:30:00,-32.8289,115.8808,0,,F0
1248,2013-02-15 16:20:00,-32.4049,134.5335,0,,F0
1249,2013-07-04 18:00:00,-34.6431,135.6974,0,,F0
1250,2013-08-03 12:40:00,-36.8322,139.8538,0,,F0
1251,2013-08-21 18:00:00,-34.7251,138.5821,0,,F0
1254,2013-11-23 05:00:00,-30.1817,151.8011,0,,F0
1255,2013-11-23 04:30:00,-30.0984,151.2511,0,,F0
1257,2013-12-26 05:00:00,-36.0984,149.1679,0,,F0
1258,2012-01-05 00:00:00,-33.1367,116.8414,0,,F0
1259,2013-07-07 08:00:00,-36.81,144.66,0,,F0
1260,2013-07-15 07:15:00,-32.3567,149.6679,0,,F0
1261,2013-07-15 07:15:00,-32.3567,149.6679,0,,F0
1262,2013-11-23 02:00:00,-38.0833,144.2666,0,,F0
1263,2013-10-24 01:00:00,-37.9215,145.166,0,,F0
1264,2013-12-05 03:25:00,-38.0503,145.1651,0,,F0
1265,2012-06-07 04:00:00,-31.8878,115.8742,0,,F0
1266,2012-11-03 08:05:00,-33.6614,115.3511,0,,F0
1267,2013-01-15 00:00:00,-33.5558,115.5608,0,,F0
1268,2013-09-23 00:00:00,-31.9819,115.8633,0,,F0
1269,2013-09-23 00:00:00,-31.9819,115.8633,0,,F0
1270,2011-12-11 00:00:00,-18.1394,125.775,0,,F0
1271,2014-11-22 06:00:00,-34.1721,142.2486,0,,F0
1272,2014-11-05 06:35:00,-30.9484,150.2511,0,,F0
1273,2014-12-04 09:05:00,-34.6556,150.2996,0,,F0
1274,2014-07-14 00:00:00,0.0,0.0,0,,F0
1275,2014-09-07 00:00:00,-31.98,115.9936,0,,F0
1276,2014-11-22 00:00:00,-34.1828,142.2154,0,,F0
1277,2015-02-23 04:00:00,-36.3846,145.4045,0,,F0
1278,2015-02-28 08:00:00,-37.3415,144.144,0,,F0
1279,2012-11-09 23:00:00,-42.89,147.3,0,,F0
1280,2012-11-09 23:05:00,-42.81,147.46,0,,F0
1281,2015-02-13 06:35:00,-37.4264,143.8863,0,,F0
1282,2015-08-24 06:00:00,-32.2484,148.6012,0,,F0
1283,2015-10-22 00:00:00,-31.5651,149.9845,0,,F0
1285,2015-10-27 00:00:00,-29.6817,148.8012,0,,F0
1286,2015-10-31 06:20:00,-36.1401,144.5581,0,,F0
1287,2015-11-01 03:30:00,-36.0527,145.2059,0,,F0
1288,2015-11-05 02:30:00,-37.6023,144.9428,0,,F0
1289,2015-08-29 05:00:00,-33.3403,115.6419,0,,F0
1290,2015-09-10 03:00:00,-34.2967,117.5542,0,,F0
1291,2015-12-03 19:30:00,-30.7492,121.4656,0,,F0
1292,2015-05-01 00:00:00,-20.7306,116.8447,0,,F0
1293,2015-12-04 07:30:00,-30.7492,121.4656,0,,F0
1294,2013-04-23 06:00:00,-23.5415,147.9697,0,,F0
1295,2013-04-23 07:00:00,-24.18,149.81,0,,F0
1296,2013-11-15 21:15:00,-27.34,153.36,0,,F0
1297,2015-07-11 05:15:00,-35.8318,146.8013,0,,F0
