Tornado ID,Date/Time,Latitude,Longitude,Fujita scale,Unnamed: 5,TOR_F_SCALE
1299,2016-01-22 05:00:00,-32.4817,150.9011,0,,F0
1302,2016-08-22 01:55:00,-37.7043,144.5713,0,,F0
1303,2016-08-22 02:05:00,-37.7841,144.715,0,,F0
1304,2016-08-22 03:10:00,-36.546,145.9833,0,,F0
1305,2016-10-21 04:35:00,-33.9126,151.118,0,,F0
1306,2016-10-21 09:00:00,-33.1373,148.1747,0,,F0
1307,2014-12-17 09:00:00,-25.0,152.08,0,,F0
1314,2017-04-08 16:30:00,-38.08,145.4801,0,,F0
1316,2017-10-26 05:34:00,-32.2123,152.3193,0,,F0
1317,2017-11-05 07:30:00,-29.15,153.2833,0,,F0
1318,2017-11-16 07:30:00,-34.681,146.271,0,,F0
1319,2017-11-16 08:15:00,-31.8151,149.1179,0,,F0
1320,2019-03-05 05:20:00,-36.01,146.02,0,,F0
1322,2018-12-19 08:30:00,-31.55,150.68,0,,F0
1323,2019-12-15 09:00:00,-34.0651,151.0846,0,,F0
1324,2019-12-21 08:30:00,-31.1095,150.9147,0,,F0
1325,2018-12-21 08:30:00,-31.1095,150.9147,0,,F0
1332,2012-03-18 17:30:00,-18.63,146.26,0,,F0
1334,2013-01-23 13:30:00,-19.69,147.47,0,,F0
1335,2013-01-23 18:15:00,-21.29,149.3,0,,F0
1338,2013-01-26 05:00:00,-24.98,152.45,0,,F0
1339,2013-01-26 06:10:00,-25.0,152.08,0,,F0
1345,2015-10-14 06:00:00,-27.47,151.94,0,,F0
1346,2015-02-20 22:30:00,-26.68,153.11,0,,F0
1347,2016-08-24 07:30:00,-26.65,153.0,0,,F0
1348,2016-11-12 07:30:00,-25.56,152.32,0,,F0
1349,2017-01-15 01:45:00,-26.8,153.05,0,,F0
1350,2017-03-17 04:00:00,-27.4,153.1,0,,F0
1352,2017-10-14 00:00:00,-27.9,153.0,0,,F0
1353,2017-12-31 01:00:00,-28.05,152.0,0,,F0
1354,2014-12-06 02:00:00,-25.29,152.86,0,,F0
1355,2012-02-14 21:30:00,-21.14,149.2,0,,F0
1356,2011-12-14 09:00:00,-16.45,145.37,0,,F0
