TOR_F_SCALE,BEGIN_LAT,BEGIN_LON
F2,46.45,-97.783
F2,47.69,-97.25
F2,45.06,-101.33
F2,38.3505,-90.3498
F2,34.114,-94.037
F2,43.44,-95.951
F2,42.2938,-79.586
F2,28.0499,-97.1254
F2,34.0426,-83.9505
F2,38.3399,-90.8899
F2,36.9407,-90.8514
F2,44.7705,-92.5756
F2,44.7611,-92.3459
F2,44.8398,-122.8789
F2,35.5635,-99.4618
F2,41.8172,-85.6873
F2,33.44,-88.8299
F2,41.962,-86.092
F2,32.0868,-90.3663
F2,41.4879,-84.0131
F2,41.9792,-86.4982
F2,32.0123,-89.6019
F2,40.6382,-86.1844
F2,32.7151,-90.6259
F2,32.905,-89.719
F2,42.3307,-88.97
F2,36.8186,-90.523
F2,33.8767,-88.4628
F2,32.571,-95.8725
F2,32.0649,-95.6903
F2,35.9977,-94.5655
F2,36.1422,-94.361
F2,36.1603,-94.3355
F2,36.0999,-94.4211
F2,36.1216,-94.3905
F2,32.8464,-90.4195
F2,33.9932,-81.5013
F2,33.629,-82.042
F2,34.6638,-85.7544
F2,31.8343,-90.3799
F2,34.8164,-92.0757
F2,34.283,-79.907
F2,34.267,-80.029
F2,35.62,-84.14
F2,35.3549,-92.6427
F2,34.1036,-86.8062
F2,35.7175,-80.3754
F2,35.3969,-92.1422
F2,32.4952,-91.1177
F2,36.8855,-84.73
F2,36.5888,-88.9391
F2,37.0571,-87.5981
F2,32.5576,-90.9641
F2,40.8021,-94.2289
F2,36.1056,-103.1659
F2,32.662,-90.7373
F2,33.0802,-89.8241
F2,44.53,-102.12
F2,45.4381,-102.16
F2,45.169,-102.15
F2,35.9099,-101.4705
F2,42.9429,-99.9172
F2,35.7911,-87.6977
F2,35.8921,-87.5126
F2,43.3756,-99.8664
F2,32.2239,-88.9676
F2,32.2508,-88.9143
F2,33.6349,-88.6019
F2,35.5942,-95.9394
F2,35.9991,-95.7132
F2,34.4891,-89.5129
F2,41.18,-104.37
F2,34.4957,-92.4011
F2,34.153,-100.6636
F2,34.1814,-100.5201
F2,32.1575,-89.1141
F2,33.5302,-88.8531
F2,35.4028,-95.8673
F2,35.441,-95.814
F2,35.497,-95.7354
F2,36.2224,-95.7481
F2,35.118,-97.274
F2,34.254,-96.432
F2,36.046,-96.0297
F2,35.1184,-88.6892
F2,35.3833,-96.0266
F2,35.8088,-88.9066
F2,36.1679,-95.4397
F2,34.18,-97.512
F2,31.0092,-103.4347
F2,40.782,-89.9856
F2,35.3667,-88.3639
F2,40.7482,-89.385
F2,40.7457,-89.4
F2,40.801,-90.0919
F2,44.2717,-94.355
F2,44.0054,-94.0399
F2,45.6,-98.9
F2,44.34,-94.6602
F2,44.1001,-94.1394
F2,45.8636,-98.3108
F2,37.3,-102.94
F2,36.3571,-103.1445
F2,37.4997,-97.9898
F2,45.7301,-92.8733
F2,43.8481,-93.326
F2,43.5314,-93.7229
F2,37.0687,-102.6034
F2,45.448,-99.7479
F2,41.9663,-83.7692
F2,43.5129,-93.7331
F2,45.54,-99.01
F2,45.81,-108.48
F2,39.4067,-82.2509
F2,40.6327,-84.1668
F2,39.7594,-82.4025
F2,42.8647,-88.2004
F2,47.2,-97.9087
F2,32.7744,-96.879
F2,41.67,-75.37
F2,35.544,-81.482
F2,35.703,-81.158
F2,34.624,-85.8542
F2,40.7733,-81.9628
F2,41.309,-87.7393
F2,42.8683,-88.5041
F2,35.1216,-85.1925
F2,36.58,-78.88
F2,32.1949,-96.5548
F2,47.31,-97.78
F2,47.9,-97.3
F2,47.35,-97.62
F2,40.0238,-98.0802
F2,42.1606,-79.0162
F2,41.0876,-88.5213
F2,41.1045,-89.0723
F2,41.1289,-89.3142
F2,34.7,-86.6398
F2,43.8947,-93.0903
F2,46.2272,-90.63
F2,45.0356,-101.6126
F2,45.18,-108.69
F2,45.34,-105.55
F2,34.996,-111.878
F2,34.44,-111.3
F2,35.106,-111.839
F2,34.982,-111.927
F2,46.1819,-110.4442
F2,34.8256,-94.7248
F2,36.1618,-94.7352
F2,36.553,-94.9733
F2,36.465,-96.576
F2,33.865,-93.521
F2,36.1704,-94.6639
F2,30.2918,-89.7362
F2,31.6199,-93.6951
F2,39.4614,-89.6483
F2,42.5608,-94.9736
F2,42.5607,-94.9509
F2,46.8749,-96.8725
F2,42.4464,-79.42
F2,35.36,-85.39
F2,37.8592,-91.3555
F2,35.08,-84.95
F2,35.02,-85.37
F2,34.9854,-85.6377
F2,43.5006,-92.2469
F2,36.39,-81.99
F2,31.7079,-89.2473
F2,26.1228,-80.3292
F2,36.29,-82.7
F2,31.8093,-89.1098
F2,34.82,-81.18
F2,36.1302,-82.6302
F2,35.268,-84.663
F2,36.33,-82.635
F2,32.036,-93.9509
F2,38.9221,-88.9293
F2,38.7308,-89.9266
F2,38.9964,-88.8072
F2,40.5496,-84.5549
F2,38.444,-89.4215
F2,41.3737,-94.1356
F2,38.34,-87.0
F2,40.0233,-82.4741
F2,34.95,-77.01
F2,42.3217,-95.3969
F2,36.4523,-96.3937
F2,38.31,-87.26
F2,36.3735,-94.8743
F2,44.2578,-88.2881
F2,34.4683,-88.2808
F2,34.3616,-86.3712
F2,37.049,-80.803
F2,36.2102,-76.7827
F2,36.243,-76.7815
F2,34.8417,-78.6563
F2,34.5398,-78.7875
F2,44.0216,-89.9549
F2,36.2435,-76.7653
F2,34.5092,-95.5091
F2,38.654,-78.962
F2,35.2331,-86.417
F2,45.6386,-88.8233
F2,33.1663,-84.5806
F2,32.82,-84.85
F2,38.3244,-86.8761
F2,38.5958,-86.6819
F2,32.9684,-85.0301
F2,32.8533,-84.7242
F2,34.4009,-84.6534
F2,34.872,-92.1702
F2,34.0664,-85.419
F2,34.8924,-85.423
F2,37.2599,-88.9419
F2,38.7362,-78.8311
F2,34.6656,-83.9427
F2,38.1387,-87.6755
F2,38.1448,-87.6555
F2,38.1668,-87.623
F2,38.7456,-90.1859
F2,38.3605,-89.1238
F2,32.9297,-84.5268
F2,36.816,-81.725
F2,36.6383,-87.6149
F2,34.9309,-92.393
F2,34.4059,-85.7294
F2,37.555,-86.2394
F2,34.454,-93.3165
F2,34.5066,-93.302
F2,32.2846,-83.3234
F2,34.0801,-85.3457
F2,34.709,-83.8596
F2,36.8956,-87.618
F2,35.2975,-84.96
F2,36.9914,-94.061
F2,32.9012,-88.7666
F2,36.8347,-93.5013
F2,37.0524,-94.5932
F2,37.0544,-94.4105
F2,34.2463,-85.342
F2,37.0052,-94.1877
F2,32.9267,-88.6931
F2,35.96,-85.639
F2,31.72,-87.095
F2,32.008,-88.331
F2,40.4041,-76.5589
F2,31.708,-87.152
F2,38.1102,-87.3017
F2,40.1062,-76.9265
F2,31.877,-86.712
F2,37.9925,-88.134
F2,38.336,-87.3224
F2,38.34,-87.54
F2,32.1088,-94.0425
F2,37.5892,-87.8407
F2,37.6412,-87.6432
F2,32.2945,-93.6391
F2,38.6328,-86.4597
F2,32.3294,-93.5632
F2,38.35,-87.9475
F2,37.5331,-76.3528
F2,39.2476,-89.6611
F2,44.0429,-90.5657
F2,33.8411,-86.7884
F2,33.4367,-86.7622
F2,36.7529,-76.8396
F2,33.6473,-86.4153
F2,43.7882,-91.2585
F2,46.77,-96.87
F2,38.9618,-87.7422
F2,33.5338,-87.6666
F2,32.3077,-88.0159
F2,35.7631,-95.7423
F2,35.399,-93.8079
F2,44.1161,-90.3124
F2,32.9149,-88.3495
F2,32.3216,-87.9459
F2,32.4714,-87.5242
F2,35.942,-95.3754
F2,32.4359,-88.3288
F2,34.6452,-85.7692
F2,32.3882,-86.8329
F2,33.0297,-87.935
F2,33.8975,-86.9274
F2,32.6627,-87.7933
F2,41.7916,-92.206
F2,35.4,-86.2739
F2,36.5419,-78.8707
F2,40.911,-87.3088
F2,32.6937,-86.2032
F2,34.2275,-86.427
F2,36.7825,-79.0945
F2,33.3007,-88.1496
F2,32.6152,-88.0543
F2,32.5666,-87.2943
F2,33.2662,-91.52
F2,32.4312,-94.3534
F2,32.0988,-94.0643
F2,35.9185,-76.2233
F2,35.7699,-90.6161
F2,38.3268,-88.3021
F2,36.7835,-87.3969
F2,32.1146,-90.3112
F2,37.02,-88.98
F2,31.617,-93.119
F2,34.3128,-87.9215
F2,31.7515,-92.9682
F2,37.0728,-89.2284
F2,40.28,-79.74
F2,40.6521,-77.1909
F2,34.6494,-91.965
F2,34.996,-77.64
F2,30.5341,-87.761
F2,36.8802,-89.0328
F2,37.6097,-87.7713
F2,42.5556,-94.9744
F2,42.7105,-94.8144
F2,30.5607,-88.2169
F2,33.01,-90.91
F2,30.219,-92.3142
F2,35.5094,-84.0673
F2,30.2045,-102.4448
F2,32.697,-85.1173
F2,35.3094,-86.105
F2,35.35,-84.4
F2,44.281,-96.13
F2,46.11,-97.95
F2,38.1986,-85.7726
F2,40.8031,-97.9366
F2,38.1949,-85.5778
F2,40.8285,-97.7878
F2,39.5667,-99.8036
F2,46.401,-99.792
F2,39.796,-99.7207
F2,37.7473,-86.4204
F2,40.7278,-99.3941
F2,32.3633,-88.0894
F2,35.3347,-111.7056
F2,35.7321,-80.2103
F2,32.789,-88.241
F2,35.68,-88.1867
F2,35.0248,-88.2735
F2,39.598,-121.6208
F2,42.3746,-95.2424
F2,42.5191,-95.1291
F2,36.0871,-86.6163
F2,38.3493,-90.1548
F2,31.624,-87.258
F2,32.0925,-88.0451
F2,38.7277,-89.5972
F2,33.9176,-87.0472
F2,38.299,-86.9336
F2,35.6643,-88.237
F2,43.0664,-76.7855
F2,46.283,-101.916
F2,44.6875,-90.4707
F2,43.092,-76.712
F2,46.3154,-91.8745
F2,37.1725,-87.3822
F2,46.6299,-96.93
F2,35.2543,-78.672
F2,35.3346,-78.5275
F2,36.1616,-95.1082
F2,36.1075,-86.533
F2,38.153,-98.705
F2,36.4501,-79.002
F2,36.4152,-77.7031
F2,34.851,-78.6324
F2,34.7889,-83.6747
F2,34.9065,-78.5402
F2,35.658,-78.041
F2,46.6007,-96.94
F2,36.034,-97.163
F2,31.48,-87.684
F2,38.6619,-93.22
F2,31.8,-92.13
F2,36.5497,-87.8276
F2,32.7546,-86.1188
F2,32.7285,-87.6276
F2,32.2884,-87.738
F2,43.4091,-92.4933
F2,32.3089,-87.9304
F2,35.373,-97.131
F2,31.551,-88.282
F2,31.203,-86.86
F2,42.18,-76.7
F2,34.5929,-87.5486
F2,42.551,-75.773
F2,33.1359,-97.1911
F2,35.456,-93.7074
F2,33.1315,-84.0414
F2,46.95,-97.14
F2,42.3024,-79.5929
F2,36.1188,-86.4179
F2,38.7034,-89.7144
F2,41.0756,-98.9303
F2,43.7412,-91.4574
F2,33.5387,-90.5828
F2,33.1261,-89.7665
F2,32.0492,-90.3931
F2,32.0382,-90.4918
F2,33.0713,-89.9795
F2,33.0057,-89.8017
F2,33.4462,-89.3691
F2,33.6589,-89.0348
F2,32.8496,-88.4528
F2,33.35,-89.5853
F2,33.519,-89.2244
F2,33.2283,-89.8001
F2,31.8435,-92.0058
F2,32.67,-91.44
F2,33.3805,-89.454
F2,31.9099,-91.5102
F2,33.4166,-89.4349
F2,32.928,-88.4932
F2,32.704,-91.377
F2,32.6882,-88.9872
F2,32.0573,-88.3536
F2,38.5345,-99.4087
F2,38.5548,-99.3094
F2,38.5641,-99.2351
F2,37.0471,-99.0761
F2,37.872,-99.0224
F2,38.406,-98.257
F2,30.839,-89.341
F2,31.5157,-90.228
F2,32.8666,-85.9669
F2,38.4809,-102.4927
F2,32.9598,-85.5929
F2,32.7246,-86.5361
F2,38.12,-102.77
F2,38.612,-97.898
F2,37.9909,-102.7032
F2,38.0303,-102.6005
F2,35.0945,-84.2639
F2,35.3789,-88.708
F2,36.0887,-85.1102
F2,42.05,-105.1064
F2,36.9736,-89.43
F2,38.856,-98.854
F2,29.6992,-96.7935
F2,36.8872,-95.094
F2,41.1355,-91.67
F2,41.1633,-91.6201
F2,37.801,-82.6769
F2,32.2043,-86.6041
F2,30.67,-88.09
F2,38.7948,-95.9477
F2,35.351,-81.794
F2,31.7252,-86.1472
F2,38.0331,-88.3652
F2,34.329,-91.4269
F2,34.1925,-91.7274
F2,33.7998,-92.4902
F2,35.659,-81.485
F2,37.173,-88.7846
F2,37.2015,-87.1722
F2,38.7815,-95.9822
F2,34.8502,-86.5702
F2,34.7597,-86.9531
F2,37.5536,-93.1831
F2,33.3257,-87.6579
F2,33.3961,-87.444
F2,33.4354,-87.284
F2,36.6994,-93.9178
F2,36.6223,-93.46
F2,36.7045,-86.4118
F2,30.522,-96.4313
F2,37.1609,-88.9046
F2,31.36,-92.487
F2,31.3,-92.453
F2,33.7063,-81.3797
F2,33.8915,-85.0369
F2,30.9687,-89.1381
F2,37.5978,-89.2188
F2,30.9067,-89.2375
F2,32.0282,-102.3386
F2,31.618,-87.8672
F2,37.1439,-89.0991
F2,37.5,-89.73
F2,32.7685,-87.0179
F2,34.0797,-90.7148
F2,40.4923,-96.2579
F2,31.079,-89.7422
F2,33.8625,-92.3681
F2,32.7159,-87.2748
F2,31.008,-83.2517
F2,35.257,-80.687
F2,38.6333,-85.4328
F2,37.6199,-85.9034
F2,41.0303,-94.4712
F2,37.8326,-82.4039
F2,29.9746,-92.5181
F2,35.2672,-84.5871
F2,35.3681,-84.3061
F2,41.1745,-100.8688
F2,37.4707,-89.8623
F2,29.144,-98.942
F2,37.83,-86.6483
F2,38.273,-88.814
F2,37.4689,-89.9047
F2,32.0713,-90.904
F2,32.2918,-89.8404
F2,36.302,-85.4673
F2,32.1242,-90.893
F2,36.5827,-83.6789
F2,29.245,-98.761
F2,38.083,-87.8494
F2,37.4819,-86.1576
F2,41.7164,-97.6028
F2,37.5555,-89.5207
F2,37.63,-89.05
F2,37.11,-89.2
F2,37.3983,-90.5331
F2,35.264,-80.659
F2,37.5566,-85.7672
F2,35.1733,-85.0051
F2,37.5607,-85.7295
F2,37.1185,-85.0814
F2,37.8744,-83.3714
F2,36.2898,-85.4929
F2,43.1261,-83.4336
F2,37.1185,-84.9761
F2,27.95,-81.68
F2,36.6354,-93.3211
F2,42.9089,-90.995
F2,30.344,-88.553
F2,37.7451,-87.9085
F2,40.7514,-95.8194
F2,39.1996,-104.1995
F2,36.4075,-90.6526
F2,43.104,-103.83
F2,33.9672,-90.7018
F2,32.9887,-90.6564
F2,32.9946,-90.7006
F2,37.1954,-84.2114
F2,38.6,-84.89
F2,38.811,-83.5182
