Tornado ID,Date/Time,Latitude,Longitude,Fujita scale,Unnamed: 5,TOR_F_SCALE
1091,2010-06-02 21:30:00,-28.7984,153.5845,1,,F1
1114,2010-12-25 01:00:00,-21.3,149.2,1,,F1
1212,2010-07-31 17:30:00,-37.3771,140.8376,1,,F1
1217,2012-06-07 04:00:00,-31.9,115.9,1,,F1
1223,2013-01-15 03:50:00,-24.84,143.06,1,,F1
1227,2013-02-23 16:15:00,-34.6651,150.8679,1,,F1
1237,2013-03-21 00:00:00,-36.7489,145.9997,1,,F1
1238,2013-03-21 00:00:00,-37.0561,146.0867,1,,F1
1252,2013-11-18 03:45:00,-33.7026,151.1123,1,,F1
1253,2013-11-23 04:30:00,-30.1317,151.4345,1,,F1
1256,2013-11-23 04:30:00,-30.0151,151.6511,1,,F1
1301,2016-01-30 07:20:00,-29.4187,153.2849,1,,F1
1326,2017-10-02 08:00:00,-25.4,152.9,1,,F1
1331,2011-01-30 13:00:00,-21.38,149.31,1,,F1
1340,2013-01-26 13:50:00,-25.23,152.59,1,,F1
1342,2013-01-26 18:30:00,-25.27,152.76,1,,F1
1344,2013-11-18 17:00:00,-25.28,152.9,1,,F1
