TOR_F_SCALE,BEGIN_LAT,BEGIN_LON
F3,38.5024,-90.4622
F3,43.702,-93.4188
F3,37.6857,-92.1901
F3,37.9394,-91.8018
F3,32.4869,-94.1689
F3,32.9299,-89.7031
F3,40.6382,-86.1656
F3,32.5182,-94.0432
F3,39.9842,-89.862
F3,36.0176,-94.5374
F3,35.4603,-92.7155
F3,33.2857,-89.3651
F3,32.4032,-91.2993
F3,34.3181,-86.1085
F3,34.2035,-86.3858
F3,34.5256,-85.5888
F3,36.0049,-80.0396
F3,33.7336,-87.2864
F3,31.8344,-102.7299
F3,34.1688,-100.5119
F3,35.246,-96.984
F3,35.34,-97.108
F3,35.283,-96.777
F3,34.8008,-89.1893
F3,36.956,-97.462
F3,36.808,-98.031
F3,35.289,-97.504
F3,34.245,-97.319
F3,35.446,-91.2711
F3,43.8588,-93.1273
F3,43.7567,-93.2367
F3,34.9949,-88.8815
F3,35.055,-88.7872
F3,39.1571,-81.7897
F3,48.6597,-105.0018
F3,48.8074,-102.1314
F3,48.813,-102.1868
F3,39.1405,-81.7397
F3,41.5716,-83.4153
F3,41.0998,-88.7302
F3,34.9088,-89.0181
F3,47.64,-96.18
F3,47.77,-96.09
F3,41.0636,-87.7523
F3,35.05,-111.865
F3,35.909,-111.005
F3,33.9036,-88.7203
F3,35.4065,-93.7968
F3,36.65,-81.95
F3,36.035,-82.808
F3,36.106,-82.702
F3,38.351,-85.1598
F3,37.234,-76.6211
F3,37.1968,-76.662
F3,37.4517,-76.4412
F3,34.2084,-89.5653
F3,34.825,-83.5961
F3,33.938,-88.7201
F3,33.7489,-89.2018
F3,35.6596,-84.2322
F3,45.1201,-89.8707
F3,37.1532,-76.704
F3,33.3526,-84.2732
F3,36.4812,-94.8951
F3,34.4124,-84.6393
F3,33.0236,-84.2693
F3,36.6625,-87.5071
F3,34.2923,-96.2509
F3,34.6459,-87.1055
F3,36.087,-76.9502
F3,34.2703,-84.8674
F3,34.5903,-93.039
F3,34.8431,-85.5799
F3,34.39,-84.99
F3,36.559,-94.6179
F3,33.0609,-88.464
F3,33.0394,-89.8123
F3,32.837,-88.3584
F3,33.4572,-87.839
F3,33.967,-85.7135
F3,33.0105,-87.7266
F3,33.605,-87.5102
F3,32.6174,-86.193
F3,33.2058,-84.4794
F3,32.8843,-85.5936
F3,33.9547,-86.7894
F3,32.9947,-88.2403
F3,42.5943,-94.9151
F3,34.0289,-87.9421
F3,32.7434,-87.8043
F3,33.2794,-87.8385
F3,32.9132,-87.4205
F3,33.163,-87.3716
F3,33.5979,-87.3278
F3,37.2946,-76.5715
F3,34.7335,-77.3765
F3,42.1535,-95.8283
F3,42.3549,-95.286
F3,33.8116,-88.8454
F3,39.4898,-99.872
F3,39.7377,-99.7765
F3,41.0764,-97.7156
F3,46.49,-98.63
F3,42.1107,-72.1354
F3,36.9411,-90.7165
F3,42.1,-72.75
F3,36.064,-98.634
F3,39.4427,-89.825
F3,35.0081,-86.3193
F3,33.721,-89.273
F3,40.7833,-99.364
F3,35.0377,-79.079
F3,42.5634,-100.209
F3,39.9001,-99.6932
F3,35.3632,-79.27
F3,38.8597,-86.3642
F3,35.5924,-78.9242
F3,36.8147,-90.8492
F3,38.5053,-96.0036
F3,34.88,-97.732
F3,35.35,-98.441
F3,33.8129,-87.8108
F3,35.3682,-77.7923
F3,32.1899,-88.0057
F3,34.2008,-87.6347
F3,35.4227,-93.5302
F3,36.165,-98.578
F3,32.5803,-86.5818
F3,35.747,-97.674
F3,31.1943,-88.4368
F3,32.2143,-88.4327
F3,31.1311,-88.6325
F3,35.725,-97.697
F3,34.1677,-88.1932
F3,30.6156,-90.0491
F3,33.0877,-90.0775
F3,32.9627,-88.8137
F3,32.2908,-90.3754
F3,32.2882,-89.1817
F3,32.7145,-88.9153
F3,32.1397,-89.6912
F3,33.5328,-89.153
F3,32.0296,-89.5042
F3,37.6134,-99.3765
F3,37.9451,-98.8958
F3,37.3576,-98.2344
F3,36.1133,-99.7837
F3,36.276,-99.604
F3,37.155,-97.8
F3,37.27,-98.22
F3,37.3855,-98.1409
F3,37.7335,-99.2149
F3,34.8162,-86.7853
F3,30.65,-89.681
F3,31.1613,-95.3208
F3,33.8681,-85.2964
F3,33.6228,-86.7411
F3,36.9,-90.1891
F3,35.128,-85.1608
F3,37.974,-83.0155
F3,41.0149,-100.8717
F3,37.9921,-82.9198
F3,41.1444,-100.8722
F3,38.0334,-82.5354
F3,31.0254,-83.185
F3,38.6563,-85.3236
F3,42.3956,-83.9571
F3,37.905,-83.6146
F3,37.7083,-83.2572
F3,37.7611,-82.9362
F3,37.9109,-83.4784
F3,32.4374,-89.4521
F3,32.4129,-89.323
F3,37.548,-97.348
F3,39.0667,-85.407
F3,38.8457,-84.3051
F3,38.791,-84.633
F3,38.835,-84.353
F3,38.859,-84.2328
F3,32.7495,-96.47
F3,32.878,-96.3286
F3,37.7006,-87.9403
F3,35.73,-97.141
F3,40.7482,-89.3549
F3,37.1533,-87.4898
F3,35.485,-98.096
F3,39.8413,-88.3291
F3,40.2351,-88.1663
F3,37.0209,-89.7338
F3,35.2531,-97.3001
F3,37.1246,-88.6368
F3,39.0376,-97.709
F3,39.857,-98.543
F3,38.6867,-90.7498
F3,38.8131,-90.1155
F3,34.4,-84.9
F3,40.3462,-86.8342
F3,31.321,-89.348
F3,32.926,-88.639
F3,39.6676,-96.1213
F3,32.6393,-88.8665
F3,34.3411,-84.9527
F3,42.8824,-93.6832
F3,42.4339,-97.8817
F3,32.255,-97.495
F3,39.847,-98.504
F3,40.5637,-86.3743
F3,36.4495,-83.9318
F3,31.2273,-89.8331
F3,39.97,-96.0455
F3,39.6808,-83.848
F3,42.82,-74.19
F3,32.3703,-89.4564
F3,31.7419,-89.0892
F3,42.5371,-97.2563
F3,42.0297,-97.0193
F3,34.4643,-88.3855
F3,34.3788,-88.543
F3,35.0066,-86.5497
F3,34.7753,-87.2324
F3,34.0957,-86.7598
F3,34.2261,-88.8242
