YEAR,RATING,COUNT
2008,F0,1072
2008,F1,598
2008,F2,204
2008,F3,68
2008,F4,11
2008,F5,1
2009,F0,742
2009,F1,403
2009,F2,101
2009,F3,25
2009,F4,2
2009,F5,0
2010,F0,821
2010,F1,417
2010,F2,148
2010,F3,46
2010,F4,17
2010,F5,0
2011,F0,884
2011,F1,780
2011,F2,270
2011,F3,97
2011,F4,32
2011,F5,11
2012,F0,608
2012,F1,280
2012,F2,124
2012,F3,38
2012,F4,8
2012,F5,0
2013,F0,544
2013,F1,366
2013,F2,107
2013,F3,26
2013,F4,9
2013,F5,1
2014,F0,565
2014,F1,375
2014,F2,88
2014,F3,28
2014,F4,8
2014,F5,0
2015,F0,741
2015,F1,467
2015,F2,80
2015,F3,24
2015,F4,8
2015,F5,0
2016,F0,571
2016,F1,357
2016,F2,92
2016,F3,27
2016,F4,2
2016,F5,0
2017,F0,711
2017,F1,684
2017,F2,167
2017,F3,20
2017,F4,2
2017,F5,0
2018,F0,681
2018,F1,446
2018,F2,97
2018,F3,12
2018,F4,0
2018,F5,0
2019,F0,732
2019,F1,617
2019,F2,138
2019,F3,45
2019,F4,3
2019,F5,0
2020,F0,520
2020,F1,476
2020,F2,106
2020,F3,22
2020,F4,10
2020,F5,0
2021,F0,631
2021,F1,518
2021,F2,132
2021,F3,33
2021,F4,9
2021,F5,0
2022,F0,486
2022,F1,548
2022,F2,152
2022,F3,22
2022,F4,5
2022,F5,0
2023,F0,515
2023,F1,524
2023,F2,168
2023,F3,43
2023,F4,2
2023,F5,0
2024,F0,691
2024,F1,925
2024,F2,177
2024,F3,51
2024,F4,5
2024,F5,0
